Frame number,152
First frame,190
Point frequency,100
Analog frequency,200

Time,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,N,N,N,N,N,N,N,N,N,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2,37.8031,3.83534,-14.3286,68.3201,-14.9987,42.4238,6.35531,9.96749,-40.0168,4.8631,0,0,11.182,-3.61324,-3.0437,-52.3626,-1.50112,-0.530919,-0.109895,-0.0894515,0.0130317,-0.213278,-0.00558734,0.243201,0.139366,-0.0730144,1.17465,-11.9105,-0,14.6798,4.14509,66.6533,13.3363,-39.5648,69.3142,-42.9554,0,0,0.0220687,0,0,0.0774018,0,0,0.035757
2.01,40.222,4.21127,-13.8451,66.8983,-14.1962,41.9869,8.02566,10.0525,-40.2414,6.11783,0,0,12.1479,-3.31107,-3.15337,-56.4395,-0.43415,-1.78085,-0.125113,-0.0872707,0.0205468,-0.195845,-0.049837,0.350094,0.511268,-0.055094,0.768342,-12.4681,1.05071e-015,13.1858,0.693958,69.6294,12.0161,-108.852,64.6334,-47.1391,0,0,0.211172,0,0,0.083967,0,0,0.0313917
2.02,41.4332,4.56114,-13.6857,65.1245,-13.6743,41.3893,9.54986,10.0617,-40.2655,7.27291,0,0,12.0847,-2.96586,-3.32135,-60.5408,0.509411,-3.19015,-0.141236,-0.0805838,0.0159093,-0.200069,-0.0509617,0.382522,0.547981,-0.0578871,0.702965,-13.3287,5.25355e-016,10.8903,-6.82159,64.3232,9.88916,-104.379,65.0572,-47.5504,0,0,0.19511,0,0,0.0651085,0,0,0.0269779
2.03,42.5245,4.89135,-13.4261,63.085,-13.0706,40.4664,10.8815,9.98378,-40.0599,8.30747,0,0,12.0299,-2.62951,-3.48024,-64.6648,1.27221,-4.6826,-0.158998,-0.073128,0.0207959,-0.205956,-0.0455487,0.392289,0.415648,-0.067743,0.852535,-14.4359,-1.05071e-015,8.34655,-11.6416,60.0783,7.51776,-71.2897,69.5842,-47.2628,0,0,0.0784756,0,0,0.0573262,0,0,0.0234467
2.04,43.4925,5.20399,-13.1074,60.7806,-12.4337,39.2066,11.9845,9.79651,-39.5605,9.21192,0,0,11.9888,-2.30062,-3.62694,-68.8008,1.8349,-6.18712,-0.178812,-0.0649378,0.0275599,-0.20336,-0.0545792,0.427857,0.358424,-0.0712151,0.938331,-15.8605,-1.31339e-015,5.65335,-12.3145,58.5075,5.00382,-58.2889,69.6102,-46.8598,0,0,0.0547115,0,0,0.0526823,0,0,0.021941
2.05,44.3324,5.49788,-12.7701,58.2093,-11.8088,37.6081,12.8281,9.48221,-38.705,9.97764,0,0,11.9656,-1.97911,-3.75694,-72.9397,2.18396,-7.63177,-0.202353,-0.0575368,0.0355349,-0.194794,-0.072491,0.481657,0.384408,-0.0708335,0.927686,-17.8206,2.62678e-016,3.13278,-8.97672,59.4891,2.66232,-67.2108,68.6221,-46.4879,0,0,0.059661,0,0,0.0656865,0,0,0.0232739
2.06,45.0376,5.76864,-12.4515,55.3676,-11.2338,35.6786,13.4002,9.03148,-37.4401,10.6033,0,0,11.9633,-1.66632,-3.86468,-77.0781,2.31816,-8.95357,-0.231218,-0.0521032,0.0428407,-0.18906,-0.08882,0.54288,0.429506,-0.0699279,0.902607,-20.422,1.77307e-015,1.15304,-4.43897,59.5787,0.85629,-77.8947,69.7986,-44.9217,0,0,0.0573197,0,0,0.0840631,0,0,0.0271111
2.07,45.6005,6.00859,-12.1826,52.2517,-10.7351,33.4342,13.7179,8.44535,-35.7262,11.0996,0,0,11.9835,-1.36512,-3.94364,-81.2219,2.25168,-10.1053,-0.265755,-0.0488704,0.0475768,-0.190543,-0.100548,0.612269,0.465414,-0.0687413,0.913737,-23.6977,-7.77772e-016,-0.19838,0.444186,58.6321,-0.329944,-86.6333,71.9058,-42.42,0,0,0.0463594,0,0,0.104587,0,0,0.0325187
2.08,46.0134,6.20757,-11.9848,48.8592,-10.3236,30.8991,13.8254,7.73509,-33.5419,11.4886,0,0,12.0267,-1.07953,-3.98693,-85.3849,2.01063,-11.0572,-0.304505,-0.0472994,0.0482861,-0.200291,-0.107967,0.691876,0.492968,-0.066434,0.96522,-27.3947,3.61182e-016,-0.935767,4.61961,56.6443,-0.91309,-92.9142,74.5219,-39.3055,0,0,0.0300684,0,0,0.121912,0,0,0.0379749
2.09,46.2692,6.35381,-11.8682,45.1906,-9.99346,28.1032,13.7818,6.91982,-30.886,11.7968,0,0,12.0919,-0.814181,-3.98785,-89.5834,1.62557,-11.7941,-0.344373,-0.0467012,0.0432961,-0.219974,-0.110784,0.779218,0.513907,-0.0620531,1.04853,-31.0342,9.10137e-016,-1.15897,6.01516,53.6883,-0.998375,-94.6089,77.4432,-36.0233,0,0,0.0116881,0,0,0.123357,0,0,0.0418306
2.1,46.3628,6.4353,-11.8298,41.252,-9.72238,25.0822,13.6469,6.02395,-27.7816,12.0486,0,0,12.1771,-0.57373,-3.9405,-93.8273,1.12509,-12.3117,-0.381013,-0.0463041,0.0302378,-0.252603,-0.10795,0.867994,0.52262,-0.0539365,1.1591,-33.9799,1.12869e-016,-1.01368,1.05215,49.7565,-0.740464,-86.3031,80.5952,-32.7678,0,0,-0.00389681,0,0,0.0830875,0,0,0.0425404
2.11,46.2925,6.44153,-11.8539,37.0605,-9.47556,21.8794,13.4704,5.07491,-24.2816,12.2593,0,0,12.2791,-0.362134,-3.84057,-98.1125,0.533765,-12.613,-0.409469,-0.0455238,0.00601972,-0.301652,-0.0987815,0.950048,0.511317,-0.039587,1.29337,-35.551,-1.14921e-016,-0.6246,-15.2319,44.9143,-0.276473,-60.7394,83.7972,-29.0986,0,0,-0.0066802,0,0,-0.0401632,0,0,0.0387494
2.12,46.0625,6.36526,-11.9141,32.6509,-9.21325,18.5485,13.2859,4.10154,-20.4738,12.4327,0,0,12.394,-0.182084,-3.686,-102.413,-0.12567,-12.7074,-0.425216,-0.0440942,-0.0326089,-0.369653,-0.0836879,1.01689,0.476287,-0.0160685,1.44274,-35.1722,-8.53702e-016,-0.0552367,-48.3468,39.5095,0.317714,-11.0789,86.2589,-23.7577,0,0,0.0180298,0,0,-0.297213,0,0,0.0296703
2.13,45.6847,6.20452,-11.9774,28.0845,-8.90109,15.1553,13.1088,3.13303,-16.4822,12.5612,0,0,12.517,-0.0343434,-3.47756,-106.676,-0.828348,-12.6118,-0.424728,-0.0419285,-0.0874589,-0.455931,-0.0647111,1.06015,0.421369,0.0188591,1.59152,-32.4792,2.62678e-016,0.680355,-102.472,34.4839,1.02199,66.2052,86.1944,-15.1193,0,0,0.0827554,0,0,-0.726175,0,0,0.0158783
2.14,45.1816,5.96399,-12.0109,23.4553,-8.52128,11.7737,12.9376,2.19749,-12.4592,12.6279,0,0,12.643,0.0825187,-3.21913,-110.816,-1.54419,-12.3543,-0.406543,-0.0395108,-0.158196,-0.556477,-0.0456566,1.07264,0.35739,0.0646981,1.72062,-27.4499,2.3641e-015,1.62448,-178.782,31.6343,1.8842,169.546,81.6068,-2.2237,0,0,0.187608,0,0,-1.32077,0,0,-0.000383649
2.15,44.5864,5.65611,-11.9882,18.8932,-8.08031,8.47775,12.7594,1.32055,-8.56762,12.6147,0,0,12.7668,0.172569,-2.918,-114.724,-2.23833,-11.9782,-0.372547,-0.0377633,-0.242007,-0.66515,-0.0312389,1.05078,0.298367,0.117395,1.81406,-20.516,2.3641e-015,2.81858,-274.167,33.2781,2.9641,292.007,71.2631,14.4408,0,0,0.314265,0,0,-2.0021,0,0,-0.0155836
2.16,43.9427,5.30059,-11.8952,14.5606,-7.60989,5.3338,12.5601,0.523928,-4.9594,12.5123,0,0,12.8832,0.24225,-2.58472,-118.276,-2.87644,-11.5416,-0.327353,-0.0374481,-0.333415,-0.775106,-0.0256013,0.995516,0.254823,0.169786,1.86299,-12.4699,-2.3641e-015,4.21608,-380.857,41.1306,4.23886,422.945,55.2692,32.985,0,0,0.4302,0,0,-2.61476,0,0,-0.0261509
2.17,43.2999,4.92332,-11.7328,10.6401,-7.15935,2.39767,12.3345,-0.175284,-1.7578,12.3286,0,0,12.9878,0.300285,-2.23289,-121.35,-3.43272,-11.1127,-0.27683,-0.0386469,-0.424731,-0.880167,-0.0311067,0.912544,0.22731,0.212901,1.86727,-4.26323,-2.10142e-015,5.64193,-487.416,54.9139,5.55224,550.832,35.0063,50.8871,0,0,0.502066,0,0,-2.96492,0,0,-0.029976
2.18,42.7075,4.55424,-11.5144,7.31582,-6.78125,-0.280147,12.0915,-0.763853,0.946759,12.0899,0,0,13.077,0.357125,-1.87844,-123.837,-3.89595,-10.7589,-0.226495,-0.0405419,-0.505871,-0.973478,-0.0476721,0.812157,0.205809,0.237844,1.83547,3.21743,2.10142e-015,6.8254,-580.112,71.4727,6.64289,664.383,12.4305,65.7844,0,0,0.509568,0,0,-2.89215,0,0,-0.027126
2.19,42.2055,4.22471,-11.259,4.7462,-6.51609,-2.64543,11.8501,-1.23049,3.08858,11.8326,0,0,13.1484,0.424323,-1.53873,-125.659,-4.26951,-10.5358,-0.180546,-0.0413556,-0.5648,-1.04522,-0.0713865,0.708356,0.175134,0.238939,1.78375,9.30632,-0,7.45797,-644.779,84.8338,7.20647,752.383,-11.0882,75.871,0,0,0.454336,0,0,-2.35306,0,0,-0.0192989
2.2,41.8161,3.96448,-10.9804,3.03529,-6.38103,-4.63487,11.6267,-1.56375,4.61316,11.5885,0,0,13.2014,0.51376,-1.23143,-126.765,-4.56441,-10.4784,-0.141825,-0.0387179,-0.589323,-1.08173,-0.0935835,0.617134,0.124447,0.216886,1.73368,13.6055,-5.25355e-016,7.25127,-669.287,87.8941,6.95983,803.293,-35.3148,79.9573,0,0,0.362084,0,0,-1.47284,0,0,-0.00880283
2.21,41.536,3.79918,-10.677,2.2074,-6.36572,-6.17888,11.4202,-1.75102,5.46705,11.3675,0,0,13.2369,0.636733,-0.973347,-127.141,-4.78844,-10.5985,-0.112625,-0.030351,-0.570254,-1.06735,-0.102883,0.554549,0.0565083,0.179227,1.70882,15.9114,2.10142e-015,5.96633,-646.262,75.5718,5.67236,805.98,-60.3408,77.5044,0,0,0.275154,0,0,-0.516758,0,0,0.00189174
2.22,41.3355,3.74847,-10.3267,2.1942,-6.43375,-7.21178,11.1986,-1.77972,5.59774,11.1445,0,0,13.2578,0.802998,-0.779226,-126.799,-4.93649,-10.8878,-0.0955282,-0.0148779,-0.503753,-0.987189,-0.0903932,0.534738,-0.0072771,0.137322,1.72969,16.0916,2.62678e-016,3.42808,-574.67,47.9004,3.17765,750.983,-85.0181,68.6092,0,0,0.232016,0,0,0.226832,0,0,0.00955603
2.23,41.1625,3.82547,-9.89055,2.83898,-6.52952,-7.68646,10.8957,-1.64231,4.97163,10.8542,0,0,13.2686,1.02012,-0.66078,-125.776,-4.98826,-11.3187,-0.0933703,0.00783075,-0.393948,-0.832831,-0.0547137,0.566506,-0.0320439,0.10254,1.80689,14.0136,5.25355e-016,-0.441089,-460.765,10.9393,-0.598089,633.915,-106.573,53.9496,0,0,0.240787,0,0,0.586134,0,0,0.00928687
2.24,40.9552,4.03663,-9.32301,3.91998,-6.5902,-7.58813,10.4207,-1.34316,3.6046,10.3999,0,0,13.2753,1.29277,-0.625966,-124.128,-4.91745,-11.8377,-0.108329,0.0362208,-0.254754,-0.609514,-0.00413176,0.649324,0.0163268,0.0833029,1.93617,9.57068,-5.25355e-016,-5.47306,-318.261,-25.1496,-5.4946,459.859,-121.611,34.8729,0,0,0.265618,0,0,0.57666,0,0,-0.00485171
2.25,40.6572,4.38239,-8.58767,5.19085,-6.56216,-6.94355,9.68217,-0.90351,1.58833,9.67842,0,0,13.2839,1.62266,-0.678659,-121.925,-4.71182,-12.3599,-0.140332,0.0658674,-0.108925,-0.341481,0.0448155,0.770493,0.153696,0.0826768,2.09891,2.8406,1.05071e-015,-10.9879,-167.29,-49.7342,-10.8617,246.775,-127.047,13.7658,0,0,0.244611,0,0,0.358089,0,0,-0.0357401
2.26,40.2333,4.85774,-7.67226,6.43058,-6.41761,-5.82375,8.61886,-0.361451,-0.902617,8.61778,0,0,13.3002,2.00828,-0.818479,-119.261,-4.39367,-12.7733,-0.185314,0.0892313,0.0157889,-0.0727045,0.0743326,0.905525,0.364406,0.0988956,2.26716,-5.67527,2.10142e-015,-15.6939,-31.9852,-55.9011,-15.4673,26.17,-121.48,-5.77733,0,0,0.136659,0,0,0.117876,0,0,-0.0777321
2.27,39.6804,5.4536,-6.59951,7.49067,-6.16488,-4.3373,7.22771,0.232973,-3.62984,7.21313,0,0,13.3281,2.44549,-1.04093,-116.261,-4.02587,-12.9586,-0.234151,0.097743,0.0934261,0.143041,0.0765096,1.02352,0.602232,0.129726,2.40976,-14.8876,-3.15213e-015,-18.0106,64.6385,-43.7715,-17.8094,-162.862,-107.286,-19.7177,0,0,-0.0357117,0,0,-0.0330861,0,0,-0.116107
2.28,39.0294,6.1581,-5.42973,8.32588,-5.84589,-2.61177,5.57952,0.826095,-6.3344,5.54535,0,0,13.3688,2.92772,-1.33756,-113.077,-3.69386,-12.8204,-0.274427,0.0862253,0.111526,0.268015,0.0600761,1.09811,0.812554,0.175936,2.49802,-23.2909,2.10142e-015,-16.7992,110.099,-20.8532,-16.8049,-290.059,-91.1873,-25.4312,0,0,-0.195213,0,0,-0.0898265,0,0,-0.135027
2.29,38.3379,6.95834,-4.25332,8.99499,-5.52083,-0.775231,3.81286,1.36994,-8.78932,3.76801,0,0,13.4201,3.44647,-1.69616,-109.876,-3.47014,-12.3238,-0.296679,0.0564759,0.082918,0.305907,0.0420401,1.118,0.960009,0.237064,2.51127,-29.637,-4.7282e-015,-12.0332,111.251,2.69506,-12.412,-351.362,-79.8747,-23.4263,0,0,-0.275458,0,0,-0.102715,0,0,-0.12843
2.3,37.6737,7.84117,-3.17293,9.62397,-5.24774,1.04478,2.10157,1.82914,-10.8369,2.06408,0,0,13.4769,3.99162,-2.1011,-106.806,-3.3813,-11.5199,-0.299554,0.0173049,0.0393993,0.290826,0.0324482,1.08625,1.02722,0.305022,2.44047,-33.5286,3.41481e-015,-4.9462,89.7064,20.1233,-5.77987,-363.619,-75.0999,-16.8859,0,0,-0.266031,0,0,-0.107975,0,0,-0.103396
2.31,37.0937,8.79202,-2.27827,10.3432,-5.06773,2.71317,0.611054,2.18357,-12.3982,0.596806,0,0,13.5314,4.55164,-2.5338,-103.977,-3.39789,-10.5381,-0.287507,-0.0193802,0.0036113,0.242436,0.0326195,1.01162,0.986978,0.367165,2.29173,-35.2364,-0,2.47725,63.0986,28.8647,1.21368,-336.184,-75.1773,-9.04684,0,0,-0.188634,0,0,-0.106323,0,0,-0.0722509
2.32,36.6244,9.79132,-1.62048,11.2326,-4.99845,4.10747,-0.535232,2.431,-13.4771,-0.520469,0,0,13.5748,5.11357,-2.97336,-101.464,-3.45491,-9.54292,-0.268391,-0.0447428,-0.0226265,0.153217,0.0420382,0.908679,0.809246,0.413374,2.09208,-35.4179,3.67749e-015,8.41464,36.5189,28.6852,6.82666,-263.92,-77.7033,-1.6818,0,0,-0.0761919,0,0,-0.0849284,0,0,-0.0433642
2.33,36.2512,10.8113,-1.19731,12.2982,-5.03366,5.16185,-1.26828,2.58901,-14.1609,-1.22975,0,0,13.5981,5.66322,-3.39768,-99.3109,-3.49026,-8.67675,-0.25021,-0.0555771,-0.0440085,0.0209222,0.059797,0.797556,0.504245,0.440168,1.88211,-34.7748,-4.20284e-015,11.8144,10.5605,21.2655,10.038,-149.331,-80.4851,4.39533,0,0,0.0334167,0,0,-0.0411148,0,0,-0.018785
2.34,35.9227,11.8154,-0.956877,13.4808,-5.14681,5.88813,-1.57117,2.68985,-14.5951,-1.52043,0,0,13.5937,6.18544,-3.78466,-97.5383,-3.47222,-8.02219,-0.236236,-0.0536132,-0.0595435,-0.130045,0.0815113,0.695821,0.137123,0.450365,1.69689,-33.6123,2.62678e-016,12.5546,-11.4721,10.3724,10.7232,-15.3308,-81.6433,8.60877,0,0,0.122423,0,0,0.00824553,0,0,0.00242634
2.35,35.566,12.7622,-0.818246,14.6796,-5.29853,6.35483,-1.47305,2.76845,-14.9324,-1.4233,0,0,13.5564,6.66468,-4.11392,-96.1456,-3.40012,-7.5965,-0.224666,-0.0435147,-0.0661656,-0.263906,0.100672,0.61322,-0.205933,0.45028,1.55484,-31.842,2.75811e-015,11.2518,-25.6147,0.245615,9.48319,107.037,-80.1071,10.6258,0,0,0.202683,0,0,0.040732,0,0,0.0198771
2.36,35.1065,13.6106,-0.698719,15.7818,-5.44705,6.64889,-1.04019,2.85103,-15.2855,-1.00337,0,0,13.4835,7.08568,-4.36839,-95.107,-3.28834,-7.36869,-0.212513,-0.0308155,-0.0635086,-0.354318,0.111748,0.553384,-0.456547,0.445133,1.45952,-29.3492,-7.88033e-016,8.89773,-30.3017,-6.1953,7.28328,193.865,-75.4328,10.5114,0,0,0.286714,0,0,0.046872,0,0,0.0314655
2.37,34.4855,14.3255,-0.537838,16.6893,-5.55866,6.8443,-0.36122,2.94974,-15.7061,-0.347736,0,0,13.3759,7.43457,-4.5359,-94.3735,-3.15029,-7.28582,-0.198374,-0.0201198,-0.0524819,-0.389872,0.111147,0.516767,-0.579856,0.435892,1.40554,-26.2293,-1.7074e-015,6.46428,-25.9225,-7.77962,5.06058,233.097,-67.2825,8.62978,0,0,0.360334,0,0,0.0324436,0,0,0.0360255
2.38,33.6714,14.8805,-0.311336,17.335,-5.61464,6.98365,0.468798,3.06268,-16.1851,0.450206,0,0,13.2376,7.6997,-4.61029,-93.881,-2.99099,-7.29764,-0.182874,-0.0134836,-0.0354865,-0.373968,0.0985587,0.501838,-0.576743,0.420716,1.38466,-22.8018,2.06859e-015,4.56261,-14.6568,-5.20789,3.3902,225.552,-56.1336,5.64776,0,0,0.39067,0,0,0.0121357,0,0,0.0347561
2.39,32.6623,15.2592,-0.032571,17.6891,-5.61226,7.07542,1.36253,3.17731,-16.6688,1.30527,0,0,13.0757,7.8726,-4.59195,-93.5608,-2.80824,-7.37025,-0.167921,-0.0105133,-0.0165672,-0.321708,0.0771518,0.505206,-0.477135,0.397784,1.38972,-19.4993,-1.44473e-015,3.36102,-0.192572,-0.434405,2.4085,182.948,-43.5596,2.4302,0,0,0.354874,0,0,-0.000196764,0,0,0.0302486
2.4,31.4814,15.4556,0.257327,17.7555,-5.56061,7.10553,2.25113,3.27594,-17.083,2.15175,0,0,12.8998,7.9487,-4.48774,-93.3516,-2.59784,-7.48711,-0.155353,-0.0099382,0.000614547,-0.252556,0.0516086,0.521743,-0.325168,0.366545,1.41471,-16.689,-4.9252e-016,2.74337,13.692,4.66122,1.97788,122,-31.3335,-0.326287,0,0,0.25804,0,0,0.000746129,0,0,0.0248428
2.41,30.1682,15.4737,0.506194,17.5629,-5.47364,7.05415,3.08851,3.34156,-17.3576,2.94775,0,0,12.721,7.92754,-4.31009,-93.205,-2.35817,-7.64332,-0.146172,-0.0104062,0.0140664,-0.183069,0.0267789,0.545572,-0.163031,0.328869,1.4531,-14.5657,-2.3641e-015,2.46328,24.3996,8.87296,1.84378,58.2164,-21.1752,-2.3044,0,0,0.12832,0,0,0.0116032,0,0,0.0198421
2.42,28.7678,15.3264,0.667732,17.1543,-5.36424,6.90898,3.84967,3.36241,-17.4447,3.67237,0,0,12.5509,7.81291,-4.07569,-93.0877,-2.09225,-7.83855,-0.140463,-0.010764,0.0231024,-0.123333,0.00704333,0.571251,-0.0200853,0.289463,1.49659,-13.1445,-1.34622e-015,2.26595,30.801,11.5834,1.75452,2.2437,-14.8368,-3.48561,0,0,-0.00150206,0,0,0.0253029,0,0,0.0157177
2.43,27.3232,15.0349,0.713561,16.5773,-5.24153,6.67116,4.526,3.33425,-17.327,4.32022,0,0,12.4002,7.61231,-3.8037,-92.9787,-1.80735,-8.07135,-0.13772,-0.0103005,0.0280417,-0.0763429,-0.0044644,0.594584,0.0913109,0.254615,1.53543,-12.32,3.44764e-016,1.97907,33.1226,12.6057,1.54701,-41.4534,-13.811,-4.00653,0,0,-0.110783,0,0,0.03594,0,0,0.0125974
2.44,25.8711,14.6263,0.637566,15.879,-5.11168,6.35368,5.12021,3.25986,-17.0156,4.8955,0,0,12.2777,7.33631,-3.51396,-92.866,-1.51345,-8.33628,-0.137063,-0.00862605,0.029851,-0.0397819,-0.00617315,0.612549,0.173054,0.230209,1.5598,-11.9276,5.91024e-016,1.52635,32.5074,11.9322,1.15551,-73.5186,-19.0185,-4.03525,0,0,-0.195364,0,0,0.0410833,0,0,0.0105008
2.45,24.4406,14.1327,0.453261,15.1045,-4.98049,5.97414,5.64187,3.14654,-16.5392,5.40772,0,0,12.1893,6.99749,-3.2253,-92.7432,-1.22122,-8.62382,-0.137542,-0.00564376,0.0294628,-0.00969641,0.00173634,0.623132,0.233697,0.219438,1.56234,-11.8056,9.43997e-017,0.914649,30.2448,9.62655,0.595277,-96.825,-30.3294,-3.7073,0,0,-0.259909,0,0,0.0411448,0,0,0.00937455
2.46,23.0545,13.5878,0.187034,14.2961,-4.85567,5.54632,6.10459,3.00287,-15.9317,5.86926,0,0,12.1378,6.60954,-2.95413,-92.6067,-0.940231,-8.92222,-0.13843,-0.00162114,0.0276266,0.0160724,0.0170746,0.625463,0.280325,0.221149,1.54064,-11.8378,6.46433e-017,0.213701,27.2173,5.94185,-0.059017,-113.637,-46.0939,-3.13693,0,0,-0.307647,0,0,0.037566,0,0,0.0090788
2.47,21.7297,13.0248,-0.129104,13.4934,-4.74689,5.07471,6.52434,2.83635,-15.2228,6.29447,0,0,12.1228,6.18627,-2.71346,-92.455,-0.677795,-9.22013,-0.139357,0.00280554,0.0243731,0.0354557,0.0362023,0.619883,0.312723,0.230466,1.49819,-11.9651,-3.07825e-016,-0.472974,23.3797,1.32577,-0.70173,-123.402,-63.4002,-2.38903,0,0,-0.334259,0,0,0.0310584,0,0,0.00940142
