Frame number,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.99,50.5663,-609.093,51.8683,-34.6011,-776.882,43.7864,7.01501,7.60417,2.79853,34.4612,-0.190108,20.4452,31.9956,8.43413,-35.6926,25.4882,0,0,-4.71658,-1.56002,168.063,-96.4933,-8.79322,-154.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,49.3561,-608.887,52.2704,-35.0283,-776.98,43.6955,7.44147,7.50173,1.86665,33.8855,-0.31863,20.4754,30.9155,8.34042,-35.4109,24.7547,0,0,-4.79644,-1.46563,168.727,-96.4836,-8.47934,-154.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01,48.2597,-608.681,52.5283,-35.4044,-777.061,43.624,7.87415,7.41283,1.0287,33.2832,-0.440073,20.3805,29.8764,8.23799,-35.1008,24.0505,0,0,-4.90543,-1.36201,169.383,-96.422,-8.14355,-154.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02,47.2774,-608.472,52.6416,-35.7287,-777.122,43.5718,8.31337,7.3383,0.286895,32.6541,-0.555116,20.1563,28.8782,8.12639,-34.76,23.3762,0,0,-5.04351,-1.25013,170.033,-96.3091,-7.78772,-154.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.03,46.4081,-608.262,52.6083,-35.9991,-777.166,43.5382,8.75866,7.27844,-0.357105,31.9983,-0.663941,19.7989,27.9215,8.00492,-34.3857,22.7328,0,0,-5.20987,-1.13121,170.678,-96.1451,-7.41431,-155.202,-13.9857,4.97E-16,-1.2441,-45.2428,-38.3122,0.807271,68.4253,-113.345,12.2114,0,0,-0.0526344,0,0,-0.0670381,0,0,-0.0160927
2.04,45.648,-608.048,52.4247,-36.2131,-777.19,43.5213,9.20825,7.23273,-0.902149,31.3162,-0.766025,19.3054,27.0068,7.87281,-33.9747,22.1217,0,0,-5.40267,-1.00662,171.316,-95.9305,-7.02654,-155.409,-13.9321,4.82E-15,-1.18852,-44.2454,-37.1081,0.711624,67.3084,-109.361,11.8249,0,0,-0.0507917,0,0,-0.0672427,0,0,-0.0151081
2.05,44.9892,-607.825,52.0858,-36.369,-777.195,43.5181,9.65863,7.20011,-1.34779,30.6078,-0.860419,18.6767,26.1358,7.72993,-33.5256,21.5442,0,0,-5.61894,-0.878069,171.949,-95.6656,-6.62873,-155.597,-13.8661,-2.53E-15,-1.11181,-43.7689,-35.5828,0.643072,66.8024,-103.764,11.2634,0,0,-0.0493587,0,0,-0.0676745,0,0,-0.01411
2.06,44.4199,-607.587,51.5867,-36.4668,-777.179,43.5251,10.105,7.17908,-1.69472,29.8738,-0.946282,17.9196,25.3112,7.57732,-33.0404,21.0017,0,0,-5.85467,-0.747476,172.577,-95.3511,-6.22611,-155.766,-13.7956,-1.08E-15,-1.01039,-43.9153,-33.8071,0.606763,66.4037,-96.7154,10.5654,0,0,-0.0478571,0,0,-0.0685119,0,0,-0.0131197
