Frame number,158
First frame,183
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,LKneeMoment,,,RHipMoment,,,LHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.96,57.7121,-436.328,192.121,93.0897,-291.937,90.6283,38.0404,2.75633,-12.0803,67.7372,-12.717,40.961,6.79049,10.2547,-40.7693,5.1376,0,0,10.4399,-2.9122,-4.92797,-54.0795,-1.73055,-5.15905,4.7627,-3.72401,-0.626481,-42.4735,85.9134,-47.612,-6.10743,-22.9765,-0.669725,0,0,-3.37161e-005,0,0,0.0988146,0,0,0.0200828
1.97,55.7836,-406.936,180.898,94.2802,-257.372,88.2836,39.2361,3.08044,-12.024,66.4026,-12.2184,40.3541,7.87584,10.2574,-40.7762,5.95606,0,0,10.5237,-2.6761,-5.12971,-57.2707,-0.921014,-6.38783,4.07821,-2.44548,-0.394465,-50.7518,82.9711,-48.5067,-4.31957,-17.4938,-0.465153,0,0,0.0246512,0,0,0.11031,0,0,0.0156971
1.98,54.3415,-376.581,168.891,96.242,-222.344,85.667,40.2944,3.37926,-11.8933,64.7585,-11.6569,39.5119,8.85158,10.202,-40.6325,6.7061,0,0,10.6148,-2.45592,-5.32221,-60.5533,-0.231203,-7.73641,2.85178,-1.33689,-0.164471,-60.2849,78.1657,-48.3618,-2.91624,-13.5414,-0.233188,0,0,0.044269,0,0,0.121605,0,0,0.0113179
1.99,53.4757,-345.267,156.337,98.9006,-186.931,82.8483,41.214,3.65669,-11.7327,62.8129,-11.0847,38.4205,9.66264,10.0667,-40.2787,7.35702,0,0,10.7113,-2.25141,-5.50489,-63.8945,0.311447,-9.1484,1.20477,-0.252666,0.0539962,-69.9051,73.1982,-47.468,-1.59782,-11.004,0.0102196,0,0,0.054217,0,0,0.134129,0,0,0.00765277
2,53.269,-313.027,143.469,102.181,-151.198,79.917,41.9932,3.9176,-11.5832,60.5722,-10.5481,37.0637,10.2624,9.83089,-39.6527,7.88399,0,0,10.8124,-2.06129,-5.6767,-67.2681,0.687452,-10.57,-0.495934,0.811936,0.255611,-79.2285,68.587,-45.7071,-0.832896,-9.66774,0.245163,0,0,0.0540155,0,0,0.152409,0,0,0.00507447
2.01,53.7981,-279.925,130.512,106.013,-115.203,76.9918,42.629,4.16633,-11.4776,58.0389,-10.0811,35.4239,10.6193,9.47793,-38.6932,8.2697,0,0,10.9181,-1.88387,-5.83606,-70.6556,0.88877,-11.9544,-2.25453,1.90665,0.421791,-88.4518,64.6109,-43.1874,-0.236,-9.31369,0.45103,0,0,0.0449933,0,0,0.181602,0,0,0.00362882
2.02,55.1293,-246.039,117.677,110.327,-79.0001,74.2275,43.1163,4.40589,-11.4369,55.2112,-9.70213,33.4825,10.7218,8.99747,-37.3428,8.5056,0,0,11.0292,-1.71746,-5.98083,-74.0483,0.920834,-13.2653,-3.84774,3.00694,0.551746,-97.6404,61.7968,-40.5163,-0.310353,-9.66634,0.616102,0,0,0.0283698,0,0,0.225781,0,0,0.00300965
2.03,57.3136,-211.453,105.16,115.066,-42.6455,71.8202,43.4478,4.63755,-11.4681,52.0815,-9.41075,31.2208,10.5828,8.38752,-35.5528,8.59324,0,0,11.1473,-1.56078,-6.1084,-77.449,0.802406,-14.4782,-5.29306,4.19785,0.646334,-106.371,61.6637,-38.8441,-0.888023,-10.3013,0.736301,0,0,0.00437309,0,0,0.285461,0,0,0.00267074
2.04,60.3831,-176.254,93.1599,120.183,-6.2032,70.0046,43.6141,4.86046,-11.5619,48.6382,-9.18843,28.6266,10.2377,7.65619,-33.2918,8.54373,0,0,11.2744,-1.41309,-6.21588,-80.8714,0.561979,-15.5785,-6.49488,5.53729,0.709564,-112.674,67.2064,-39.6636,-2.33565,-10.8379,0.805009,0,0,-0.0271643,0,0,0.350198,0,0,0.00183009
2.05,64.3485,-140.535,81.8839,125.644,30.2505,69.0432,43.6042,5.07137,-11.694,44.8696,-9.00164,25.7068,9.73815,6.82287,-30.5594,8.37502,0,0,11.4126,-1.27415,-6.30033,-84.3358,0.231177,-16.5555,-7.48348,7.07351,0.73571,-111.969,80.9584,-43.5208,-4.42561,-10.9912,0.811732,0,0,-0.0619157,0,0,0.39341,0,0,-0.000209219
