Frame number,227
First frame,177
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.88,-153.087,-763.813,62.4081,-180.2,-945.972,60.6079,38.212,0.381291,-14.0492,7.56516,-6.64043,-2.83232,-23.7041,-3.03076,11.217,-23.2245,0,0,171.502,-180.459,-1.05328,-92.2145,-6.1301,-173.083,-19.6122,2.09321e-016,-1.41585,-218.02,30.5523,1.19229,244.645,2.20579,23.7094,0,0,-0.102475,0,0,0.282645,0,0,0.0447314
1.89,-153.567,-752.145,61.9424,-181.913,-934.165,63.727,38.4869,0.405222,-14.5876,8.42653,-6.75231,-1.69151,-22.0676,-2.94495,10.8374,-21.6539,0,0,171.646,-180.59,-1.62841,-91.1512,-5.56446,-172.722,-17.2072,4.02225e-016,-2.10466,-218.932,26.3291,0.0929243,260.462,-1.73026,22.7246,0,0,-0.0735269,0,0,0.359913,0,0,0.0527292
1.9,-153.871,-738.79,60.9191,-183.467,-920.652,66.799,38.6741,0.492321,-14.9812,9.47357,-6.88237,-0.344357,-19.9701,-2.76518,10.0389,-19.6517,0,0,171.803,-180.64,-2.17851,-89.8909,-4.66165,-172.361,-14.3833,2.08808e-016,-2.54761,-215.04,23.1484,-0.876848,265.232,-1.89046,20.9772,0,0,-0.0363787,0,0,0.418642,0,0,0.0517715
1.91,-154.051,-723.83,59.4648,-184.817,-905.504,69.7203,38.7698,0.636724,-15.219,10.6778,-7.02732,1.20214,-17.5235,-2.49051,8.81121,-17.3102,0,0,171.966,-180.611,-2.69575,-88.5069,-3.49521,-172.022,-11.3005,1.30518e-015,-2.67526,-206.417,21.7655,-1.55437,257.455,2.05182,18.4056,0,0,0.00131311,0,0,0.454354,0,0,0.0433875
1.92,-154.16,-707.362,57.7326,-185.939,-888.817,72.3899,38.7758,0.83074,-15.2966,12.0119,-7.18138,2.93022,-14.8542,-2.12496,7.16436,-14.7356,0,0,172.127,-180.509,-3.17364,-87.0846,-2.16424,-171.725,-8.2201,1.31339e-016,-2.45923,-193.39,22.6421,-1.81526,236.792,9.96579,14.949,0,0,0.0315159,0,0,0.464825,0,0,0.0310557
1.93,-154.248,-689.497,55.8853,-186.83,-870.703,74.7171,38.6988,1.06508,-15.217,13.4516,-7.33793,4.80683,-12.0872,-1.67878,5.13792,-12.0379,0,0,172.277,-180.341,-3.60726,-85.7125,-0.778601,-171.482,-5.44632,-1.6089e-015,-1.92213,-176.264,25.7758,-1.61955,203.852,20.8959,10.5767,0,0,0.0482448,0,0,0.449355,0,0,0.0190064
1.94,-154.357,-670.344,54.0781,-187.515,-851.287,76.6304,38.5503,1.32904,-14.9894,14.9761,-7.49057,6.7801,-9.3317,-1.16872,2.8054,-9.3204,0,0,172.41,-180.118,-3.99341,-84.4725,0.557862,-171.3,-3.2668,-2.95512e-016,-1.14199,-156.1,30.7732,-1.03479,161.685,33.7472,5.41336,0,0,0.0495739,0,0,0.410834,0,0,0.0106469
1.95,-154.525,-650.014,52.443,-188.037,-830.695,78.0853,38.3446,1.61131,-14.6279,16.5677,-7.63367,8.78159,-6.66983,-0.616446,0.269326,-6.66978,0,0,172.519,-179.855,-4.33076,-83.4305,1.7625,-171.179,-1.86846,-1.64173e-015,-0.217991,-134.216,36.8891,-0.195515,114.496,47.0666,-0.252568,0,0,0.0381552,0,0,0.354716,0,0,0.00742866
1.96,-154.784,-628.611,51.0785,-188.453,-809.051,79.0679,38.0968,1.90032,-14.151,18.2108,-7.76238,10.7328,-4.15347,-0.0460583,-2.35097,-4.14998,0,0,172.597,-179.564,-4.61962,-82.6301,2.78232,-171.115,-1.29612,1.16563e-015,0.748988,-112.682,43.2721,0.744211,68.4519,60.1328,-5.9738,0,0,0.0201981,0,0,0.290021,0,0,0.00877935
1.97,-155.164,-606.237,50.0463,-188.827,-786.473,79.594,37.8204,2.18508,-13.5798,19.8907,-7.87271,12.5577,-1.80722,0.519218,-4.93792,-1.80052,0,0,172.639,-179.258,-4.86183,-82.0911,3.59545,-171.1,-1.44441,-6.23859e-016,1.67665,-93.1804,49.054,1.6587,28.6542,72.3703,-11.2971,0,0,0.00235664,0,0,0.225501,0,0,0.0128842
