Frame number,152
First frame,190
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2.03,13.7351,-503.711,157.156,44.1902,-340.163,81.6565,42.5245,4.89135,-13.4261,63.085,-13.0706,40.4664,10.8815,9.98378,-40.0599,8.30747,0,0,12.0299,-2.62951,-3.48024,-64.6648,1.27221,-4.6826,-14.4359,-1.05071e-015,8.34655,-11.6416,60.0783,7.51776,-71.2897,69.5842,-47.2628,0,0,0.0784756,0,0,0.0573262,0,0,0.0234467
2.04,14.4812,-465.217,142.209,48.7565,-296.94,79.2941,43.4925,5.20399,-13.1074,60.7806,-12.4337,39.2066,11.9845,9.79651,-39.5605,9.21192,0,0,11.9888,-2.30062,-3.62694,-68.8008,1.8349,-6.18712,-15.8605,-1.31339e-015,5.65335,-12.3145,58.5075,5.00382,-58.2889,69.6102,-46.8598,0,0,0.0547115,0,0,0.0526823,0,0,0.021941
2.05,16.0731,-425.651,127.499,53.8561,-253.58,77.3225,44.3324,5.49788,-12.7701,58.2093,-11.8088,37.6081,12.8281,9.48221,-38.705,9.97764,0,0,11.9656,-1.97911,-3.75694,-72.9397,2.18396,-7.63177,-17.8206,2.62678e-016,3.13278,-8.97672,59.4891,2.66232,-67.2108,68.6221,-46.4879,0,0,0.059661,0,0,0.0656865,0,0,0.0232739
2.06,18.623,-385.137,113.262,59.3797,-210.169,75.8924,45.0376,5.76864,-12.4515,55.3676,-11.2338,35.6786,13.4002,9.03148,-37.4401,10.6033,0,0,11.9633,-1.66632,-3.86468,-77.0781,2.31816,-8.95357,-20.422,1.77307e-015,1.15304,-4.43897,59.5787,0.85629,-77.8947,69.7986,-44.9217,0,0,0.0573197,0,0,0.0840631,0,0,0.0271111
2.07,22.2012,-343.805,99.7155,65.2346,-166.808,75.1899,45.6005,6.00859,-12.1826,52.2517,-10.7351,33.4342,13.7179,8.44535,-35.7262,11.0996,0,0,11.9835,-1.36512,-3.94364,-81.2219,2.25168,-10.1053,-23.6977,-7.77772e-016,-0.19838,0.444186,58.6321,-0.329944,-86.6333,71.9058,-42.42,0,0,0.0463594,0,0,0.104587,0,0,0.0325187
2.08,26.8276,-301.788,87.0578,71.3507,-123.615,75.4308,46.0134,6.20757,-11.9848,48.8592,-10.3236,30.8991,13.8254,7.73509,-33.5419,11.4886,0,0,12.0267,-1.07953,-3.98693,-85.3849,2.01063,-11.0572,-27.3947,3.61182e-016,-0.935767,4.61961,56.6443,-0.91309,-92.9142,74.5219,-39.3055,0,0,0.0300684,0,0,0.121912,0,0,0.0379749
2.09,32.4697,-259.225,75.4803,77.6792,-80.7366,76.8391,46.2692,6.35381,-11.8682,45.1906,-9.99346,28.1032,13.7818,6.91982,-30.886,11.7968,0,0,12.0919,-0.814181,-3.98785,-89.5834,1.62557,-11.7941,-31.0342,9.10137e-016,-1.15897,6.01516,53.6883,-0.998375,-94.6089,77.4432,-36.0233,0,0,0.0116881,0,0,0.123357,0,0,0.0418306
2.1,39.0411,-216.275,65.1698,84.1878,-38.3523,79.6157,46.3628,6.4353,-11.8298,41.252,-9.72238,25.0822,13.6469,6.02395,-27.7816,12.0486,0,0,12.1771,-0.57373,-3.9405,-93.8273,1.12509,-12.3117,-33.9799,1.12869e-016,-1.01368,1.05215,49.7565,-0.740464,-86.3031,80.5952,-32.7678,0,0,-0.00389681,0,0,0.0830875,0,0,0.0425404
2.11,46.4031,-173.135,56.3052,90.8497,3.31737,83.9004,46.2925,6.44153,-11.8539,37.0605,-9.47556,21.8794,13.4704,5.07491,-24.2816,12.2593,0,0,12.2791,-0.362134,-3.84057,-98.1125,0.533765,-12.613,-35.551,-1.14921e-016,-0.6246,-15.2319,44.9143,-0.276473,-60.7394,83.7972,-29.0986,0,0,-0.0066802,0,0,-0.0401632,0,0,0.0387494
2.12,54.3679,-130.073,49.0418,97.6326,44.008,89.733,46.0625,6.36526,-11.9141,32.6509,-9.21325,18.5485,13.2859,4.10154,-20.4738,12.4327,0,0,12.394,-0.182084,-3.686,-102.413,-0.12567,-12.7074,-35.1722,-8.53702e-016,-0.0552367,-48.3468,39.5095,0.317714,-11.0789,86.2589,-23.7577,0,0,0.0180298,0,0,-0.297213,0,0,0.0296703
