Frame number,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.04,40.4099,-123.994,71.6945,110.289,46.2422,64.8228,41.3322,3.90037,-14.1018,43.8622,-10.9918,24.3214,12.0223,6.54203,-29.6006,10.4343,0,0,9.88009,-2.29607,-6.16368,-86.2394,0.36756,-19.6552,-22.5646,1.96E-15,1.4172,-37.7529,41.7961,1.18574,-24.6007,66.5849,-33.9632,0,0,-0.0278639,0,0,-0.128109,0,0,0.00230175
4.05,45.167,-90.0261,63.9436,115.561,79.9146,66.6973,41.3291,4.00046,-14.3258,40.6883,-10.6559,22.2639,11.6919,5.89682,-27.3253,10.3719,0,0,9.8561,-2.09948,-6.12882,-89.4522,-0.0605596,-20.1929,-23.2568,6.87E-16,1.21052,-49.4841,45.0782,1.00294,-1.8605,76.4593,-34.6465,0,0,-0.0189832,0,0,-0.20928,0,0,0.00131398
4.06,50.5207,-56.274,56.9924,120.941,113.017,69.3771,41.1925,4.07391,-14.4389,37.3671,-10.237,20.0713,11.346,5.23332,-24.8807,10.2809,0,0,9.83746,-1.91747,-6.06391,-92.682,-0.530336,-20.5781,-23.0797,-1.42E-15,0.766491,-67.6659,47.6171,0.592551,29.7342,87.6554,-34.1062,0,0,0.00611567,0,0,-0.337009,0,0,0.000884618
4.07,56.451,-22.9587,50.8915,126.389,145.387,72.8236,40.9234,4.12092,-14.4231,33.9234,-9.74166,17.7496,10.9816,4.55891,-22.2897,10.1519,0,0,9.82298,-1.74854,-5.96615,-95.8952,-1.03138,-20.7873,-22.0213,2.22E-16,0.120159,-93.2007,48.8294,-0.0139633,71.3903,98.1813,-31.449,0,0,0.0517971,0,0,-0.517359,0,0,0.000973048
4.08,62.9106,9.65339,45.6666,131.843,176.836,76.9416,40.5271,4.14204,-14.269,30.3929,-9.18789,15.3166,10.5877,3.88063,-19.5804,9.96896,0,0,9.8111,-1.5902,-5.83319,-99.0396,-1.54658,-20.7962,-20.2242,1.19E-15,-0.601496,-126.843,48.3794,-0.695358,124.332,105.814,-26.0613,0,0,0.120314,0,0,-0.74987,0,0,0.00136352
4.09,69.8177,41.2496,41.3062,137.221,207.146,81.584,40.0137,4.13818,-13.9768,26.8241,-8.60288,12.8035,10.1545,3.20601,-16.7895,9.71736,0,0,9.80011,-1.43941,-5.66354,-102.052,-2.05165,-20.587,-17.8862,-2.12E-15,-1.24397,-168.873,46.2854,-1.3013,189.05,108.576,-17.7899,0,0,0.211184,0,0,-1.02408,0,0,0.00182653
4.1,77.054,71.4768,37.7529,142.42,236.073,86.5564,39.3983,4.11089,-13.5559,23.2787,-8.01917,10.2564,9.68161,2.54367,-13.9651,9.3928,0,0,9.78865,-1.29281,-5.45676,-104.87,-2.51867,-20.153,-15.2165,6.57E-17,-1.64124,-218.583,42.9241,-1.66797,264.518,104.845,-7.00712,0,0,0.320391,0,0,-1.31571,0,0,0.00200468
4.11,84.4674,99.9535,34.9013,147.325,263.341,91.6231,38.7001,4.06267,-13.0227,19.8308,-7.46998,7.73533,9.18339,1.90391,-11.1678,9.00803,0,0,9.77577,-1.14696,-5.21378,-107.437,-2.92255,-19.5009,-12.3121,-2.79E-15,-1.65811,-273.77,38.7648,-1.66109,347.487,93.4875,5.45746,0,0,0.439574,0,0,-1.58523,0,0,0.00151039
4.12,91.8798,126.29,32.6067,151.82,288.655,96.5117,37.9413,3.99748,-12.3985,16.564,-6.98401,5.31035,8.68918,1.29901,-8.47082,8.59368,0,0,9.76141,-0.998507,-4.93696,-109.713,-3.24755,-18.6528,-9.0555,1.58E-15,-1.21865,-330.337,34.1008,-1.20643,431.882,74.0969,18.4229,0,0,0.555823,0,0,-1.78146,0,0,0.000166813
4.13,99.0984,150.114,30.7044,155.8,311.711,100.916,37.1454,3.92114,-11.7054,13.5645,-6.58114,3.05487,8.23503,0.7433,-5.95832,8.19024,0,0,9.74637,-0.844119,-4.63007,-111.667,-3.49025,-17.6459,-5.10454,-3.74E-15,-0.299008,-382.364,28.9925,-0.285605,508.633,47.5829,30.5225,0,0,0.652978,0,0,-1.85339,0,0,-0.00185061
