Frame number,212
First frame,234
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2.33,1212.45,-291.618,69.2707,1418.51,-337.673,55.7775,29.6771,-6.88114,-1.64721,5.28316,-1.17537,-9.35388,-18.1763,-0.0499822,0.231801,-18.1761,0,0,-10.8906,-0.351671,-178.404,-93.469,4.09261,-168.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.34,1208.61,-298.725,71.2785,1413.5,-333.461,62.6114,30.049,-7.06791,-2.32006,4.54578,-1.44897,-8.23154,-17.7394,-0.684785,3.83245,-17.6985,0,0,-10.8648,-0.36946,-179.005,-92.145,4.15268,-171.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.35,1202.38,-304.88,72.7405,1406.2,-330.583,68.6693,30.4067,-7.24428,-2.89863,4.16723,-1.62632,-7.22054,-16.9274,-1.21671,6.82723,-16.8038,0,0,-10.8376,-0.37505,-179.581,-90.8611,4.29924,-174.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.36,1193.76,-310.076,73.6679,1396.62,-329.047,73.9371,30.7493,-7.4097,-3.39311,4.14558,-1.73635,-6.32915,-15.8199,-1.63196,9.13983,-15.6139,0,0,-10.8088,-0.368529,-180.133,-89.6547,4.53048,-176.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.37,1182.77,-314.3,74.0917,1384.78,-328.861,78.3894,31.0723,-7.56384,-3.80988,4.47025,-1.80202,-5.56056,-14.5025,-1.91822,10.7169,-14.2441,0,0,-10.7781,-0.350026,-180.66,-88.5654,4.84075,-178.257,3.57524,1.86985e-016,42.2283,-350.01,62.7192,40.5118,532.732,48.8972,49.2584,0,0,-0.230296,0,0,0.238245,0,0,-0.0979507
2.38,1169.45,-317.529,74.0699,1370.71,-330.009,81.9991,31.3668,-7.70704,-4.15119,5.1199,-1.83953,-4.91272,-13.0587,-2.06712,11.5309,-12.7906,0,0,-10.7457,-0.319828,-181.163,-87.6292,5.22213,-178.916,4.77189,-3.7397e-016,41.2853,-337.005,62.4058,39.7412,526.681,62.037,47.4952,0,0,-0.201843,0,0,0.417482,0,0,-0.0474235
2.39,1153.87,-319.738,73.6897,1354.45,-332.418,84.7502,31.6203,-7.84065,-4.41565,6.06199,-1.85735,-4.38297,-11.5615,-2.07793,11.5898,-11.3227,0,0,-10.7119,-0.278373,-181.642,-86.8738,5.6628,-178.802,5.18178,1.49588e-015,37.8308,-321.648,57.393,36.591,520.377,67.689,43.3977,0,0,-0.163935,0,0,0.557842,0,0,-0.000369839
2.4,1136.12,-320.908,73.066,1336.08,-335.929,86.6487,31.8171,-7.9672,-4.59921,7.25377,-1.85626,-3.97441,-10.0673,-1.96106,10.9515,-9.88212,0,0,-10.6774,-0.226159,-182.096,-86.3164,6.14501,-177.964,4.79137,-1.49588e-015,31.7857,-303.02,47.6461,30.9214,509.05,64.9075,37.1278,0,0,-0.113603,0,0,0.651898,0,0,0.0323389
2.41,1116.34,-321.034,72.3354,1315.67,-340.292,87.7252,31.9415,-8.08997,-4.69773,8.64525,-1.83106,-3.69599,-8.61362,-1.73855,9.72886,-8.48881,0,0,-10.6429,-0.163869,-182.526,-85.9643,6.6459,-176.504,3.74475,-1.86985e-016,23.6156,-280.587,34.2983,23.1133,488.299,54.1323,29.328,0,0,-0.052157,0,0,0.695748,0,0,0.0438222
