Frame number,268
First frame,182
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.81,1095.49,-362.445,63.2486,1302.4,-419.859,49.9683,16.7688,-6.82101,4.32616,20.4095,1.90142,-0.840632,10.838,2.96622,-16.4306,10.3903,0,0,169.36,174.531,-1.17498,-93.6097,3.43708,-163.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.82,1094.9,-362.723,62.7364,1302.31,-419.779,49.9813,16.7732,-6.61831,3.81713,19.8954,1.5044,-0.494061,10.3192,2.94801,-16.3355,9.89837,0,0,169.47,174.668,-1.11901,-93.4214,3.58789,-163.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.83,1094.38,-362.992,62.2411,1302.24,-419.702,49.9923,16.8579,-6.43388,3.40361,19.4447,1.15566,-0.198472,9.79747,2.93006,-16.2417,9.40283,0,0,169.561,174.793,-1.08197,-93.2492,3.73459,-163.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.84,1093.93,-363.252,61.7631,1302.18,-419.628,50.0016,17.0228,-6.26771,3.08535,19.0584,0.852445,0.0406992,9.27223,2.9117,-16.1456,8.90349,0,0,169.634,174.906,-1.06411,-93.0927,3.87735,-164.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.85,1093.54,-363.503,61.3037,1302.13,-419.558,50.0097,17.2674,-6.11964,2.86149,18.737,0.592535,0.219112,8.74349,2.89239,-16.0445,8.4004,0,0,169.689,175.006,-1.06524,-92.9512,4.01612,-164.157,-13.7752,2.31978e-015,1.3307,-10.0364,6.69388,1.20736,-71.3521,28.4543,-1.11727,0,0,0.0292435,0,0,-0.00254463,0,0,-0.0123887
1.86,1093.22,-363.745,60.8651,1302.09,-419.491,50.018,17.5907,-5.98926,2.72995,18.4811,0.374186,0.333356,8.21194,2.87165,-15.9357,7.89432,0,0,169.725,175.095,-1.08453,-92.8238,4.15061,-164.267,-13.8598,-7.97608e-016,1.37147,-8.69471,6.86295,1.21401,-74.4644,28.069,-1.09373,0,0,0.041892,0,0,-0.00116794,0,0,-0.0125227
1.87,1092.96,-363.979,60.4497,1302.07,-419.426,50.0286,17.9908,-5.87588,2.68704,18.2907,0.19604,0.381694,7.67919,2.84915,-15.8176,7.38674,0,0,169.744,175.174,-1.12022,-92.709,4.28035,-164.372,-13.973,-3.95736e-015,1.42118,-7.85225,6.93094,1.22926,-76.4492,27.5686,-1.04977,0,0,0.0541366,0,0,-0.000290917,0,0,-0.0126383
1.88,1092.76,-364.205,60.0601,1302.05,-419.363,50.0445,18.4644,-5.77855,2.72854,18.165,0.0575208,0.363726,7.14778,2.82492,-15.6902,6.88011,0,0,169.747,175.244,-1.16967,-92.6046,4.40481,-164.471,-14.1134,3.67104e-015,1.47439,-7.41358,6.90341,1.24778,-77.4988,26.8615,-0.988226,0,0,0.0654906,0,0,0.000285017,0,0,-0.0127092
1.89,1092.6,-364.423,59.6978,1302.04,-419.301,50.0694,19.0068,-5.69609,2.84884,18.1024,-0.0415754,0.281347,6.62111,2.79933,-15.5556,6.37754,0,0,169.735,175.308,-1.22928,-92.5081,4.52355,-164.565,-14.2724,-3.53372e-015,1.53185,-7.63199,6.74073,1.27054,-76.7297,25.7403,-0.893189,0,0,0.0744959,0,0,0.00068092,0,0,-0.0127064
