Frame number,139
First frame,316
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3.15,-118.461,-139.527,42.5201,-175.68,-310.038,131.549,41.6836,-3.90075,-9.4766,3.39751,-2.6914,-5.10221,5.30212,-0.0979531,0.504322,5.3019,0,0,16.847,-3.13918,-0.947075,-117.525,-5.8075,-16.4887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.16,-117.947,-149.703,38.8102,-174.768,-322.688,124.248,41.1942,-3.47555,-8.51693,3.86516,-2.73988,-6.31964,4.91078,-0.0684235,0.336567,4.9107,0,0,16.6563,-2.71436,-0.571626,-116.357,-5.36332,-16.3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17,-117.73,-158.327,36.0319,-173.912,-334.029,116.446,40.7585,-3.03253,-7.57828,4.58004,-2.76669,-7.08709,4.30259,0.0106326,-0.112565,4.30258,0,0,16.447,-2.30443,-0.288479,-114.77,-4.87656,-16.2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.18,-117.817,-165.432,34.1799,-173.109,-344.079,108.195,40.3774,-2.57206,-6.66899,5.54193,-2.76167,-7.3834,3.49088,0.139907,-0.846939,3.49049,0,0,16.2217,-1.90879,-0.096933,-112.78,-4.37003,-16.0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.19,-118.212,-171.103,33.2266,-172.357,-352.871,99.6279,40.0523,-2.09498,-5.79872,6.74622,-2.71881,-7.18894,2.51634,0.318767,-1.86248,2.515,0,0,15.9836,-1.52786,0.00350481,-110.433,-3.88166,-15.7378,-11.5911,-1.40239e-015,1.50686,-110.936,60.007,1.45751,22.8077,137.481,1.62132,0,0,-0.0970632,0,0,0.250408,0,0,-0.0165901
3.2,-118.909,-175.482,33.0975,-171.668,-360.45,90.9764,39.7798,-1.60055,-4.99421,8.17934,-2.63992,-6.49463,1.46132,0.54389,-3.13893,1.45912,0,0,15.7343,-1.16023,0.016893,-107.829,-3.46179,-15.3184,-19.2992,-2.24382e-015,2.99342,-101.106,55.9454,2.83616,20.9055,123.783,1.39137,0,0,-0.0939178,0,0,0.256935,0,0,-0.0260528
3.21,-119.873,-178.763,33.6563,-171.079,-366.864,82.5489,39.5561,-1.08931,-4.27387,9.8163,-2.53072,-5.32886,0.443998,0.810269,-4.64512,0.442533,0,0,15.4778,-0.807784,-0.054121,-105.113,-3.15935,-14.7933,-27.3057,-1.86985e-015,5.70456,-84.2884,52.1424,5.33487,16.5132,107.809,1.59701,0,0,-0.0883071,0,0,0.225439,0,0,-0.0275479
3.22,-121.031,-181.162,34.7173,-170.653,-372.18,74.6667,39.3699,-0.561604,-3.6582,11.6133,-2.4024,-3.77459,-0.411584,1.10885,-6.32558,-0.409099,0,0,15.218,-0.472905,-0.204513,-102.448,-2.9976,-14.2058,-34.0539,1.12191e-015,9.00313,-60.9313,47.2941,8.31513,10.4766,86.8376,2.06953,0,0,-0.076354,0,0,0.154461,0,0,-0.0166876
3.23,-122.276,-182.901,36.0766,-170.461,-376.496,67.5986,39.2005,-0.0176568,-3.16706,13.5041,-2.27051,-1.97058,-1.01126,1.42596,-8.09814,-1.00118,0,0,14.9587,-0.158113,-0.426283,-99.9768,-2.9585,-13.6287,-38.5483,4.11367e-015,11.8586,-34.4828,39.6715,10.7974,8.95437,57.1347,2.88924,0,0,-0.051957,0,0,0.0631298,0,0,0.00372167
