Frame number,130
First frame,315
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3.14,-75.9584,-116.3,35.6944,-135.043,-288.161,120.756,42.5425,-3.46416,-4.7955,5.50297,-2.88399,-7.88187,5.78221,0.702665,-4.03736,5.76779,0,0,17.4449,-2.46073,1.04331,-116.391,-5.53236,-17.2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.15,-75.8276,-120.766,34.2007,-134.26,-296.827,109.713,41.9431,-3.15117,-4.00265,5.95637,-2.6246,-8.50321,3.9757,0.762137,-4.37339,3.9641,0,0,17.4531,-2.02625,1.30805,-113.412,-4.74926,-17.0556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.16,-75.9878,-124.624,33.4448,-133.62,-304.585,99.4148,41.3762,-2.77145,-3.32521,6.57568,-2.37951,-8.64706,2.28438,0.865232,-4.95516,2.27583,0,0,17.4134,-1.5948,1.4705,-110.447,-4.07345,-16.7938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17,-76.4311,-127.887,33.3846,-133.134,-311.422,89.9051,40.8439,-2.32718,-2.7637,7.36671,-2.14892,-8.31667,0.739009,1.01074,-5.77445,0.735261,0,0,17.3291,-1.16784,1.53149,-107.531,-3.53325,-16.4544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.18,-77.1321,-130.588,33.9206,-132.824,-317.319,81.2648,40.365,-1.79806,-2.19594,8.33895,-1.92052,-7.56828,-0.609229,1.20434,-6.8608,-0.604853,0,0,17.2088,-0.753475,1.44479,-104.726,-3.15854,-16.0497,-36.9545,2.61779e-015,6.86728,-16.8872,43.0558,6.04159,-167.742,87.7264,0.850108,0,0,-0.228227,0,0,0.00966701,0,0,-0.0636724
3.19,-78.0383,-132.776,34.8995,-132.719,-322.278,73.5813,39.8802,-1.25902,-1.98133,9.45247,-1.74438,-6.38572,-1.68353,1.41454,-8.03456,-1.66699,0,0,17.0451,-0.338694,1.35928,-102.102,-2.92869,-15.622,-38.9142,-4.48764e-015,8.7971,-24.3905,39.8297,7.66977,-75.051,64.9214,2.36787,0,0,-0.128483,0,0,0.0236288,0,0,-0.0437354
3.2,-79.0708,-134.518,36.1437,-132.848,-326.35,66.9077,39.4366,-0.647413,-1.75009,10.7049,-1.58145,-4.96486,-2.44882,1.65621,-9.37556,-2.41609,0,0,16.8581,0.0530212,1.13719,-99.7308,-2.84198,-15.2087,-39.5559,-1.49588e-015,10.245,-15.0465,33.2009,8.81191,-58.6822,40.7607,3.23759,0,0,-0.0918146,0,0,0.00370111,0,0,-0.019664
3.21,-80.1354,-135.889,37.4835,-133.219,-329.658,61.2497,39.0016,0.00238391,-1.61385,12.0372,-1.45354,-3.41555,-2.88241,1.90692,-10.7556,-2.83174,0,0,16.6519,0.41867,0.837192,-97.6562,-2.84104,-14.8617,-39.0654,-1.30889e-015,10.7423,1.04696,23.9415,9.05468,-59.8079,12.011,3.86514,0,0,-0.0623235,0,0,-0.0312676,0,0,0.00341138
3.22,-81.137,-136.969,38.7794,-133.813,-332.373,56.5703,38.5582,0.675566,-1.56222,13.3879,-1.36689,-1.87011,-2.99296,2.15242,-12.0947,-2.92647,0,0,16.4361,0.747505,0.473047,-95.8995,-2.86793,-14.6206,-37.6207,3.7397e-016,10.1564,14.0781,12.5365,8.30886,-42.6191,-23.2859,4.75618,0,0,-0.00927218,0,0,-0.055696,0,0,0.0212339
